Id,IsCancelled,PreviousBookingsNotCancelled,PreviousCancellations,TotalSpecialRequests,BookingChanges,StaysWeekendNights,StaysWeekNights
79866,1,0,1,0,0,1,2
43651,0,0,0,0,0,0,2
1864,1,0,0,0,0,2,4
68570,1,0,0,0,0,2,1
51723,1,0,0,0,0,1,1
50039,0,0,0,0,0,0,3
66189,1,0,0,0,0,0,3
61711,1,0,0,1,0,1,5
14118,0,0,0,1,0,4,6
54007,1,0,0,0,0,0,2
10876,1,0,0,1,1,0,3
113865,0,0,0,1,0,0,1
59575,1,0,0,0,0,1,2
72555,1,0,0,0,0,0,4
85567,0,0,0,1,0,2,1
106967,0,0,0,0,0,0,2
106967,0,0,0,0,0,0,2
40997,0,0,0,3,1,0,2
68574,1,0,0,1,0,2,1
64471,1,0,0,1,0,1,2
113451,0,0,0,0,2,0,4
45439,1,0,0,0,0,2,1
82613,0,0,0,0,0,0,1
11580,1,0,0,0,0,0,3
91414,0,0,0,1,0,2,2
39518,1,0,0,0,0,2,8
67514,1,0,0,0,0,2,3
65168,1,0,0,2,0,2,3
66326,1,0,0,0,0,1,4
6635,0,0,0,2,0,2,5
37979,0,0,0,0,0,2,10
80389,1,0,1,0,0,0,1
69602,1,0,0,0,0,1,2
67697,1,0,0,0,0,1,2
79595,0,0,0,1,0,2,5
24803,0,0,0,0,0,0,3
67897,1,0,0,0,0,0,1
74775,1,0,1,0,0,0,2
53580,1,0,0,0,0,1,2
98855,0,0,0,1,0,0,3
1181,0,0,0,3,0,1,5
118301,0,0,0,1,1,0,4
80290,0,0,0,0,0,0,2
68080,1,0,0,0,0,2,1
102604,0,0,0,1,0,0,2
7641,1,0,0,0,0,1,0
79633,1,0,1,1,0,2,1
17628,0,0,0,0,0,1,0
52366,1,0,0,0,0,0,2
67412,1,0,0,1,0,2,3
72044,1,0,0,0,0,0,3
75949,1,0,1,0,0,1,2
44984,1,0,0,0,0,0,2
37398,0,0,0,0,0,0,1
52918,1,0,0,1,0,0,1
63055,1,0,0,0,0,0,2
117583,0,0,0,3,1,1,2
115800,0,0,0,0,0,0,3
71989,1,0,0,1,0,2,5
20641,0,0,0,0,0,0,3
89759,0,0,0,2,0,1,1
85667,0,0,0,2,1,1,3
81179,1,0,1,0,0,0,3
55855,1,0,0,0,0,0,1
15351,0,0,0,3,0,0,3
4388,1,0,0,0,0,0,2
56319,1,0,0,0,0,0,1
340,0,0,0,1,0,2,2
98193,0,0,0,1,0,0,1
47088,1,0,0,0,0,0,1
83429,0,0,0,0,0,1,3
17984,0,1,0,1,0,0,1
69412,1,0,0,0,0,0,2
54273,1,0,0,0,0,1,2
16369,0,1,0,0,1,0,1
58029,1,0,-5,0,0,0,3
16688,0,0,0,0,0,0,2
109650,0,0,0,0,0,2,3
84808,0,0,0,1,0,1,1
108365,0,0,0,0,0,0,1
64729,1,0,0,0,0,2,1
30293,0,0,0,0,0,1,2
1244,1,0,0,2,0,0,2
95703,0,0,0,0,0,2,2
3085,1,0,0,2,0,4,10
18900,0,0,0,1,0,0,1
16333,0,0,0,0,2,1,1
52893,1,0,0,0,0,0,2
104471,0,0,0,1,0,1,2
9294,1,0,0,0,0,1,1
31832,0,0,0,0,0,0,1
83286,0,0,0,1,0,1,1
32257,0,0,0,0,1,1,1
109158,0,0,0,2,0,1,3
110309,0,0,0,1,0,1,3
73131,1,0,1,0,0,0,2
84076,0,0,0,0,0,0,1
47355,1,0,0,1,0,1,2
83617,0,0,0,0,0,1,2
76457,0,0,0,0,0,1,2
81396,0,0,0,1,0,0,2
27107,0,0,0,0,0,2,5
55322,1,0,0,0,0,0,2
6315,0,0,0,1,0,3,7
74926,0,0,0,0,0,0,2
15705,0,0,0,1,0,1,3
70012,1,0,-5,0,0,0,1
22244,0,0,0,0,0,2,2
8265,1,0,0,0,0,0,1
103427,0,0,0,0,0,2,2
84439,0,0,0,0,0,2,3
51565,0,0,0,2,0,0,1
69180,1,0,0,0,0,0,2
28036,0,0,0,1,0,1,4
53516,1,0,0,0,0,0,2
50806,1,0,0,0,1,0,1
43124,0,0,0,0,0,0,3
89202,0,1,0,0,1,0,1
14593,1,0,1,0,0,1,1
17750,0,2,0,1,1,0,2
39373,0,0,0,0,0,2,5
23675,0,0,0,0,0,0,3
71218,1,0,0,0,0,0,2
102781,0,0,0,0,0,0,4
111039,0,0,0,1,0,0,1
84652,0,0,0,1,0,0,5
5326,1,0,0,2,0,0,3
86531,0,0,0,1,1,2,3
48651,1,0,0,0,0,1,1
30282,0,0,0,0,0,1,2
56686,1,0,0,2,0,0,2
55165,1,0,0,0,0,2,0
59540,1,0,0,0,0,1,2
49174,1,0,0,0,0,0,2
69791,1,0,0,0,0,1,2
85476,0,0,0,2,0,1,2
68542,1,0,0,1,0,1,2
100051,0,1,0,2,0,1,1
104942,0,0,0,0,2,0,3
27331,0,0,0,1,1,0,1
117470,0,0,0,1,0,2,1
106859,0,0,0,0,0,2,3
5230,1,0,0,0,0,2,2
8183,1,0,0,1,0,2,5
113167,0,0,0,1,1,1,2
27337,0,0,0,0,0,0,1
67422,1,0,0,2,0,0,2
106812,0,0,0,1,0,1,2
99817,0,0,-5,0,0,0,3
3615,1,0,0,0,1,2,5
71931,1,0,0,0,0,1,4
88664,0,0,0,1,0,0,3
20809,0,0,0,0,0,0,1
69246,1,0,0,0,0,0,2
8847,1,0,0,0,0,1,3
56749,1,0,0,0,0,2,3
43327,1,0,0,0,0,2,2
117711,0,0,0,0,0,0,4
65738,1,0,0,0,0,0,3
114223,0,0,0,0,0,0,1
33642,0,0,0,1,1,1,4
98042,0,1,0,0,0,0,2
27998,0,0,0,1,0,1,3
69707,1,0,0,1,0,0,3
38728,0,0,0,1,0,0,1
4576,0,0,0,0,0,0,3
50945,1,0,0,0,0,2,1
28377,0,0,0,0,1,1,3
81166,1,0,1,0,0,0,3
110262,0,0,0,0,0,2,2
40082,0,0,0,0,0,0,3
944,1,0,0,0,0,2,2
56423,1,0,0,0,0,1,1
85309,0,0,0,0,0,0,3
94392,0,0,0,1,0,0,2
32395,0,0,0,0,0,0,5
38120,0,0,0,1,0,1,3
112417,0,0,0,2,1,0,2
116086,0,0,0,2,0,1,2
77074,0,0,0,2,0,2,4
50335,1,0,-5,0,0,0,2
59553,1,0,0,0,0,1,2
51920,1,0,0,0,0,0,1
110704,0,6,1,0,0,0,1
20228,0,0,0,1,0,2,1
29157,0,0,0,0,1,2,5
94461,0,0,0,0,0,1,1
55482,1,0,0,0,0,1,2
76818,0,0,0,0,0,1,1
31777,0,1,0,0,0,0,1
116822,0,0,0,1,0,2,6
1221,1,0,0,0,0,2,5
68511,1,0,0,1,0,1,2
44275,0,0,0,1,0,1,4
96655,0,0,0,0,0,2,4
101253,0,0,0,0,0,0,2
65585,1,0,0,0,0,2,2
1371,1,0,0,0,0,1,3
72474,1,0,0,0,0,0,1
76975,0,0,0,0,0,0,2
104114,0,0,0,0,0,0,1
32745,0,0,0,0,1,2,2
27243,0,0,0,1,0,1,3
30612,0,0,0,1,0,1,0
46689,1,0,0,0,0,0,3
17797,0,0,0,1,0,2,0
115083,0,0,0,0,0,1,2
118461,0,0,0,1,0,1,1
79077,1,0,1,0,0,1,2
1592,0,0,0,0,0,2,5
79972,0,0,0,0,3,0,3
26039,0,0,0,0,0,4,11
28904,0,0,0,0,2,0,2
1502,0,0,0,0,0,1,5
3769,1,0,0,1,0,2,3
20142,0,0,0,0,1,0,1
18353,1,0,1,1,1,1,1
72733,1,0,0,0,0,2,5
109291,0,0,0,2,1,2,5
79361,0,0,0,1,0,2,2
104821,0,0,0,0,0,2,3
91343,0,0,0,0,0,0,1
59662,1,0,0,0,0,1,2
104979,0,0,0,0,0,1,2
3481,1,0,0,0,0,0,1
54385,1,0,0,0,0,0,5
17537,0,0,0,1,0,1,2
113612,0,0,0,0,0,1,5
9405,1,0,0,0,0,2,1
107810,0,0,0,2,0,2,0
38322,0,0,0,0,0,1,2
84490,0,0,0,0,0,2,2
77874,0,0,0,2,0,1,2
111559,0,0,0,2,0,0,3
113355,0,0,0,1,1,1,3
26011,0,0,0,0,0,2,5
78212,0,0,0,0,0,0,1
47731,0,0,0,0,0,0,1
95645,0,0,0,2,1,0,0
23586,0,0,0,0,0,2,5
114491,0,0,0,1,0,0,4
115308,0,0,0,0,0,1,2
114911,0,0,0,0,0,0,4
34566,0,0,0,0,0,2,5
29261,0,0,0,1,0,2,3
75812,1,0,1,0,0,1,1
103351,0,0,0,1,0,1,1
14495,0,1,0,0,1,1,3
94496,0,0,0,3,0,1,1
10268,1,0,0,0,0,0,2
46763,1,0,0,0,0,0,1
54241,1,0,0,0,0,0,2
26688,0,0,0,1,0,4,8
41989,1,0,0,1,0,1,5
83646,0,0,0,0,0,1,0
65206,1,0,0,0,0,2,0
107988,0,0,0,0,0,2,3
48064,1,0,0,0,0,2,0
110140,0,0,0,1,0,2,2
68830,1,0,0,0,0,0,3
20230,0,0,0,1,0,2,0
33101,0,0,0,0,0,1,1
51720,1,0,0,0,0,1,1
19710,0,0,0,1,0,0,2
102957,0,0,0,1,0,0,1
97166,0,0,0,0,0,0,1
30453,0,0,0,0,0,2,1
52673,1,0,0,0,0,0,2
116089,0,0,0,0,0,1,2
79065,1,0,1,1,0,0,1
84691,0,0,0,1,0,1,2
45802,0,0,0,1,0,1,2
93334,0,0,0,2,3,0,3
112659,0,0,0,0,0,1,2
75191,1,0,1,0,0,2,2
1970,0,0,0,0,0,0,1
52670,1,0,0,0,0,0,2
27844,0,0,0,0,0,1,2
36252,0,0,0,1,0,1,1
77792,1,0,1,0,1,0,4
57208,1,0,0,0,0,2,1
67688,1,0,0,0,0,1,2
25959,0,0,0,1,0,0,1
77153,1,0,1,1,0,0,2
11652,1,0,0,1,0,2,2
107424,0,0,0,2,0,1,1
19445,0,0,0,0,0,0,1
50875,1,0,-5,0,0,0,2
83256,0,0,0,0,0,1,2
117693,0,0,0,0,0,0,4
30718,0,0,0,1,0,2,8
60271,1,0,0,0,0,0,2
62231,1,0,0,0,0,1,1
118167,0,0,0,2,0,0,2
31426,0,0,0,1,0,0,1
57653,1,0,0,0,0,1,0
104848,0,0,0,2,0,2,3
111600,0,0,0,1,0,1,2
1777,1,0,0,2,0,1,2
49392,1,0,0,1,0,1,2
85388,0,0,0,0,0,0,1
80128,1,0,1,0,0,0,1
95727,0,3,0,0,0,0,1
50914,1,0,0,0,0,0,1
111345,0,0,0,0,0,2,3
105988,0,0,0,1,0,1,1
81779,0,0,0,2,0,2,2
89011,0,0,0,0,1,1,0
61547,1,0,0,1,0,0,4
57632,1,0,0,0,0,2,3
30749,0,0,0,0,1,1,0
96407,0,0,0,1,2,1,1
97517,0,0,0,0,1,1,4
38168,0,0,0,1,0,0,2
57238,1,0,0,1,0,2,0
74117,0,0,0,0,0,1,2
45200,0,0,0,0,0,1,2
2360,0,0,0,1,0,1,1
33544,0,0,0,1,1,3,6
70698,1,0,0,0,0,2,5
64435,1,0,0,0,0,1,3
107324,0,0,0,1,2,0,0
100120,0,0,0,2,0,2,2
118098,0,0,0,1,0,1,3
61312,1,0,0,0,0,0,2
110657,0,0,0,0,0,2,1
97079,0,0,0,1,0,1,0
64470,1,0,0,1,0,1,2
88455,0,0,0,0,0,0,0
111724,0,0,0,2,0,2,1
16696,0,0,0,1,0,4,10
25645,0,0,0,0,1,1,4
71065,1,0,0,1,0,1,3
28684,0,0,0,0,1,1,0
17147,0,0,0,0,1,1,3
75328,1,0,1,0,0,0,2
2369,1,0,0,0,0,2,5
109181,0,0,0,0,1,1,1
53207,1,0,0,0,0,1,3
40744,0,0,0,1,0,0,1
11568,1,0,0,1,0,0,1
49010,1,0,0,0,0,2,2
63901,1,0,0,0,0,1,0
32147,0,0,0,0,0,0,1
50160,1,0,0,0,0,2,5
107363,0,0,0,2,0,2,5
20326,0,0,0,2,0,0,1
91192,0,0,0,0,0,0,2
443,0,0,0,0,0,0,3
3506,1,0,0,1,0,4,9
84582,0,0,0,0,1,1,3
28295,0,1,0,0,0,0,1
77869,0,0,0,1,0,1,1
114337,0,0,0,1,0,2,3
89494,0,0,0,1,0,0,2
30857,0,0,0,4,0,2,3
104409,0,0,0,1,0,0,2
54289,1,0,0,1,0,2,1
39402,0,0,0,1,5,3,5
88733,0,0,0,0,0,0,2
105301,0,0,0,0,0,0,4
103498,0,0,0,3,1,1,4
105462,0,0,0,2,0,2,2
106346,0,0,0,0,0,1,1
69800,1,0,0,0,0,0,1
39900,1,0,0,0,0,1,1
15428,0,0,0,0,0,0,1
54847,1,0,0,0,0,2,5
63678,1,0,0,0,0,2,0
28822,0,0,0,1,0,1,3
85108,0,0,0,0,1,1,0
76177,0,1,0,3,1,0,1
16784,0,0,0,2,0,1,3
1497,1,0,0,0,0,0,2
23588,0,0,0,0,0,2,5
87039,0,0,0,1,0,0,3
67529,1,0,0,0,1,2,1
105401,0,0,0,0,0,1,0
94963,0,0,0,2,0,2,5
16902,0,0,0,0,1,0,3
15089,1,0,1,1,0,0,2
34436,0,0,0,2,0,2,1
97395,0,0,0,0,0,0,1
65471,1,0,0,0,0,1,2
27968,0,0,0,0,1,1,2
80811,0,0,0,1,1,0,2
97259,0,0,0,0,0,2,2
108694,0,0,0,0,0,1,3
24489,0,0,0,0,0,2,5
6860,1,0,0,2,2,0,3
94495,0,0,0,1,0,1,2
81607,0,0,0,0,0,2,2
95789,0,0,0,1,1,1,4
53220,1,0,0,0,0,4,10
67498,1,0,0,0,0,2,2
59125,1,0,0,0,0,0,3
62262,1,0,0,1,0,5,14
20079,0,0,0,0,1,0,3
54669,1,0,0,0,0,0,2
32548,0,1,0,0,0,1,3
66080,1,0,0,0,0,2,2
57159,1,0,0,0,0,2,2
114654,0,0,0,0,1,2,1
109083,0,0,0,2,0,0,2
69220,1,0,0,0,0,0,2
79636,1,0,1,0,0,2,1
32619,0,0,0,2,0,2,5
107775,0,0,0,2,0,1,3
59117,1,0,0,0,0,0,3
74137,1,0,1,0,0,0,2
107595,0,0,0,0,0,2,4
103876,0,0,0,0,0,1,0
65126,1,0,0,3,1,1,2
61620,1,0,0,1,0,0,2
3100,0,0,0,0,1,0,4
60217,1,0,0,0,0,0,2
111575,0,0,0,0,0,1,1
109626,0,0,0,1,0,2,0
4720,0,0,0,0,2,1,4
53569,1,0,0,1,0,0,2
110886,0,0,0,0,0,2,4
113070,0,0,0,0,0,0,2
100606,0,0,0,0,0,0,3
56353,1,0,0,0,0,0,2
84877,0,0,0,1,0,1,2
27313,0,0,0,1,0,2,2
72673,1,0,0,0,0,2,4
32867,0,0,0,0,0,0,4
71413,1,0,0,0,0,0,4
36464,0,0,0,2,0,2,5
34887,0,0,0,1,0,1,4
92466,0,0,0,2,0,0,2
97667,0,0,0,2,0,2,2
61444,1,0,0,0,0,2,0
26336,0,0,0,1,0,1,2
101529,0,0,0,0,0,1,2
57020,1,0,0,2,0,0,3
53205,1,0,0,0,0,1,3
1209,0,0,0,2,1,2,5
111337,0,0,0,0,0,2,3
76095,0,0,0,0,1,0,1
28080,0,0,0,0,0,2,0
60466,1,0,0,0,0,0,2
37769,0,0,0,1,1,0,2
103815,0,0,0,2,0,0,1
75052,1,0,1,0,0,2,2
118038,0,0,0,0,0,2,5
28525,0,0,0,1,0,0,3
11202,1,0,0,0,0,1,2
4160,1,0,0,2,0,2,1
60562,1,0,0,0,0,2,4
78391,0,0,0,0,0,1,1
1074,0,0,0,1,0,0,1
105361,0,0,0,0,0,0,4
82659,0,0,0,0,0,1,2
116102,0,0,0,1,0,1,1
7785,1,0,0,1,0,0,3
20526,0,0,0,0,0,0,1
67991,1,0,0,0,0,0,2
94079,0,0,0,1,2,2,2
14982,0,0,0,0,0,0,3
43571,0,0,0,0,0,0,2
33422,0,0,0,0,0,0,4
79735,1,0,1,0,0,0,2
53292,1,0,0,0,0,4,7
51280,0,0,0,0,0,0,3
27032,0,0,0,0,1,0,3
58867,1,0,0,0,0,1,2
16953,0,0,0,0,0,2,5
107009,0,0,0,1,0,2,2
104370,0,0,0,0,0,0,1
377,0,0,0,2,0,2,5
71716,1,0,0,0,0,0,1
106778,0,0,0,1,1,1,2
7874,0,0,0,1,2,2,5
57784,1,0,0,0,0,0,3
86285,0,0,0,0,0,1,3
56443,1,0,0,0,0,1,0
80828,0,0,0,0,0,0,2
39008,0,0,0,0,1,2,5
59405,1,0,0,0,0,1,2
70927,1,0,0,0,0,1,2
111229,0,0,0,1,0,2,1
31751,0,0,0,0,0,2,0
72683,1,0,0,1,0,0,1
54248,1,0,0,0,0,0,2
15769,0,0,0,2,0,2,8
85989,0,0,0,0,0,0,1
25717,0,0,0,2,0,1,2
55585,1,0,0,0,0,0,2
63429,1,0,0,2,0,1,3
109742,0,0,0,1,0,0,1
59834,1,0,0,0,0,0,2
36502,0,0,0,3,0,2,3
69697,1,0,0,0,0,0,3
17817,1,0,1,0,0,2,0
100858,0,0,0,3,0,0,3
71535,1,0,0,0,0,2,1
70813,1,0,0,1,2,2,4
95537,0,0,0,2,0,2,1
116172,0,0,0,1,0,1,1
73267,1,0,1,0,0,0,2
29146,0,0,0,0,0,0,1
89189,0,0,0,2,0,0,2
37064,0,0,0,2,1,0,4
2774,0,0,0,0,0,0,1
83325,0,1,0,0,1,0,3
29907,0,0,0,0,0,0,1
32687,0,0,0,1,0,4,10
3015,1,0,0,0,0,0,4
47620,1,0,0,0,0,2,1
47576,1,0,0,0,0,1,2
27930,0,0,0,1,0,3,7
52951,1,0,0,0,0,1,2
29180,0,0,0,1,0,0,4
63590,1,0,0,0,1,0,3
79501,1,0,1,2,0,2,2
45366,1,0,0,0,0,2,2
87935,0,0,0,1,0,1,3
43013,0,0,0,0,0,1,1
68798,1,0,0,0,0,0,2
60090,1,0,0,2,0,0,1
60674,1,0,0,1,0,0,4
59581,1,0,0,0,0,1,2
37558,0,0,0,1,0,2,0
28274,0,0,0,2,0,1,1
13457,1,0,0,0,0,2,5
59382,1,0,0,0,0,1,2
42255,0,0,0,0,0,0,2
1754,0,0,0,0,0,1,0
6018,0,0,0,0,1,2,6
63264,1,0,0,1,1,2,2
115752,0,0,0,1,0,2,2
24871,0,0,0,0,2,2,3
15440,0,0,0,0,0,2,5
114134,0,0,0,1,0,2,0
76208,0,0,0,1,0,1,1
32949,0,0,0,2,0,0,2
37767,0,0,0,1,0,0,3
45846,1,0,0,0,0,2,1
104349,0,0,0,0,2,0,1
12096,1,0,0,0,0,2,3
4550,0,0,0,0,1,0,3
6854,1,0,0,1,0,3,7
74033,1,0,1,0,0,1,1
32121,0,0,0,1,0,0,4
9583,1,0,0,0,0,2,5
47784,1,0,0,0,0,0,3
92624,0,0,0,1,1,1,1
34350,0,0,0,0,2,0,4
23767,0,0,0,0,0,0,2
20791,0,1,0,0,0,0,1
111052,0,0,0,2,0,0,2
113996,0,0,0,1,0,0,4
114116,0,0,0,5,4,2,1
20411,0,0,0,0,0,0,1
15586,0,0,0,2,1,0,5
77714,0,0,0,1,0,2,2
39124,0,0,0,1,0,0,2
15010,0,0,0,0,0,2,5
118712,0,0,0,1,0,2,5
86688,0,0,0,2,0,1,1
88082,0,0,0,0,1,1,2
50091,1,0,0,0,0,0,2
88823,0,0,0,0,0,0,1
54605,1,0,0,1,0,1,2
97534,0,0,0,0,0,1,4
71825,1,0,0,1,0,0,1
5949,1,0,0,1,0,3,7
114182,0,0,0,2,0,2,1
2200,1,0,0,0,0,1,0
99922,0,0,0,2,0,0,3
19978,0,0,0,0,0,0,2
24330,0,0,0,1,0,1,2
36856,0,0,0,0,0,0,3
49527,1,0,0,0,0,2,0
107462,0,0,0,0,0,2,2
50468,1,0,0,0,0,2,2
26975,0,0,0,0,0,1,3
69558,1,0,0,1,0,2,4
74443,1,0,1,0,0,1,1
28636,0,0,0,0,0,1,3
115827,0,0,0,0,0,1,3
68089,1,0,0,0,0,2,1
86720,0,0,0,1,0,2,3
67881,1,0,0,0,0,0,1
71419,1,0,0,0,0,0,1
109942,0,0,0,1,0,0,1
113356,0,0,0,1,1,1,3
93974,0,0,0,1,0,0,1
88576,0,0,0,0,0,1,2
42589,0,0,0,0,0,0,2
4896,0,0,0,0,0,2,5
12630,1,0,0,1,0,2,3
113159,0,0,0,2,0,2,5
63129,1,0,0,0,0,1,1
61606,1,0,0,1,0,1,3
87016,0,0,0,1,0,0,3
9652,1,0,0,0,0,0,2
69837,1,0,0,0,0,2,3
95189,0,0,0,1,0,1,2
80098,1,0,1,0,0,1,1
17231,0,0,0,0,0,0,1
29679,0,0,0,1,0,1,4
59755,1,0,0,0,0,1,3
45791,1,0,0,0,0,1,3
5453,0,0,0,0,0,4,8
72195,1,0,0,2,0,0,1
93992,0,0,0,1,0,1,2
89478,0,0,0,0,0,2,3
27662,0,0,0,2,0,2,5
36241,0,0,0,1,0,0,1
53147,1,0,0,0,0,0,4
116432,0,0,0,0,0,0,3
58270,1,0,0,0,0,1,2
51651,1,0,0,0,0,0,3
13474,1,0,0,1,0,2,3
91185,0,0,0,0,0,0,2
45050,0,0,0,0,1,0,3
13189,1,0,0,0,1,1,4
28815,0,0,0,1,0,0,1
34849,0,0,0,1,0,0,1
95650,0,3,0,1,0,1,2
44811,0,0,0,0,0,0,3
36709,0,0,0,1,0,1,1
79907,1,0,1,0,0,0,1
8317,0,0,0,1,2,4,10
47729,0,0,0,1,0,2,5
61024,1,0,0,0,0,0,1
110040,0,0,0,1,1,1,1
79451,1,0,1,0,0,0,2
67442,1,0,0,1,0,1,2
118148,0,0,0,2,0,1,4
31680,0,0,0,1,1,0,2
18291,0,0,0,0,0,1,1
23137,0,0,0,0,1,1,1
60864,1,0,0,0,0,0,2
83840,0,0,0,1,0,0,0
7988,1,0,0,2,1,2,6
42573,0,0,0,0,0,0,2
23587,0,0,0,0,0,2,5
29258,0,0,0,2,0,1,3
83232,0,0,0,1,0,1,5
109425,0,2,0,0,0,0,1
74850,1,0,1,0,0,0,2
102547,0,0,0,0,1,0,1
2879,0,0,0,0,6,3,10
24046,0,0,0,2,0,2,5
14012,0,1,0,2,0,2,5
9259,1,0,0,0,0,1,0
67629,1,0,0,0,0,1,2
57129,1,0,0,0,0,1,2
61107,1,0,0,1,0,2,4
56105,1,0,0,0,0,1,0
100138,0,0,0,1,0,2,2
31917,0,0,0,0,1,2,5
31937,0,0,0,1,0,0,2
102597,0,0,0,1,0,0,1
62045,1,0,0,0,0,0,3
12030,1,0,0,1,0,2,8
77200,0,0,0,1,0,2,2
85329,0,0,0,1,0,0,1
41811,0,0,0,0,0,2,2
83923,0,0,0,0,0,0,4
65735,1,0,0,0,0,0,3
2388,0,0,0,1,0,1,0
111210,0,0,0,1,0,2,1
104546,0,0,0,1,0,2,2
33744,0,0,0,0,0,4,10
25248,0,0,0,0,0,2,5
88480,0,0,0,0,0,0,1
37379,0,0,0,0,0,2,5
87110,0,0,0,0,0,2,1
685,0,0,0,0,0,2,5
9878,1,0,0,0,0,1,1
83559,0,0,0,0,0,0,3
39037,0,0,0,2,0,0,1
92593,0,0,0,1,0,2,1
21757,0,1,0,0,0,0,1
45571,1,0,0,1,0,0,2
113984,0,0,0,1,1,0,2
73028,1,0,0,0,0,0,3
65114,1,0,0,1,0,1,2
112135,0,0,0,1,0,0,3
16052,0,0,0,3,0,0,2
111098,0,0,0,1,0,1,1
18979,0,0,0,1,0,0,1
23439,0,0,0,0,0,4,10
87603,0,0,0,0,0,2,1
79230,1,0,1,0,0,0,2
44475,1,0,0,0,0,0,2
54291,1,0,0,0,0,2,2
80019,0,0,0,0,3,0,2
37221,0,0,0,2,0,2,8
89966,0,0,0,0,0,1,2
69482,1,0,0,1,0,1,1
110181,0,0,0,0,0,2,0
38093,0,0,0,1,0,0,2
101449,0,0,0,0,2,1,1
104695,0,0,0,0,0,0,3
29156,0,0,0,1,0,2,4
90582,0,0,0,1,1,0,3
50618,1,0,0,0,0,1,3
53212,1,0,0,0,0,1,3
73272,1,0,1,0,0,0,2
100914,0,0,0,0,3,1,2
39305,0,0,0,1,0,2,8
86057,0,0,0,1,0,0,3
87429,0,0,0,1,0,0,2
10522,1,0,0,2,0,2,5
80418,1,0,1,0,0,2,1
106887,0,0,0,0,0,0,1
78281,1,0,0,0,0,1,2
19072,0,0,0,0,2,2,4
94964,0,0,0,1,0,1,5
68705,1,0,0,0,0,0,1
51018,1,0,0,0,0,1,3
74511,1,0,1,0,1,0,2
41296,0,0,0,0,1,0,2
24354,0,0,0,1,0,2,7
1552,1,0,0,0,0,2,8
6941,1,0,0,0,0,2,5
64355,1,0,0,0,0,0,3
15203,0,0,0,0,0,2,4
21033,0,0,0,1,0,1,3
22204,0,0,0,0,2,2,3
88149,0,0,0,1,0,0,3
29387,0,0,0,3,0,2,5
27017,0,0,0,1,0,1,5
87031,0,0,0,1,0,0,2
74048,1,0,1,0,0,1,1
33014,0,0,0,1,0,10,25
219,0,0,0,1,0,0,2
30344,0,0,0,3,1,0,0
1401,1,0,0,0,0,1,2
12364,1,0,0,0,0,3,7
38783,0,0,0,0,0,2,2
33474,0,0,0,1,0,0,1
66752,1,0,0,1,0,0,2
107030,0,0,0,0,0,0,3
37054,0,0,0,0,0,2,7
14450,1,0,24,0,0,0,2
